部署名,棚番,用途,種類,メーカー名,品番,数量,依頼,依頼日,税抜単価,税抜金額 ,在庫数,発注点,発注,発注日,出庫,出庫日,入庫 ,入庫日,仕入先名,備考,担当者,伝票No,税込単価 ,税込金額,税額,税率,勘定科目,使用先,サイズ,入力日
生産部,,,ネジ,ALPS SEIKO,CAP 6*30,1,,,8,¥8,,,,,,,,,棒柘産業(株),M32用くさびネジ,加藤彩,,¥9,¥9,¥1,10,消耗品,,,
生産部,,,エンドミル,OSG,CAP-EBD R2.75*5.5,1,,,,¥0,,,,,,,,,岩瀬産業(株),,加藤彩,,¥0,¥0,¥0,10,消耗品,,,
生産部,,,ケーブルカバー,サンワサプライ,CA-R30M ケーブルカバー(プロテクタ、ステッカー 一式),1,,,,¥0,,,,,,,,,棒柘産業(株),,加藤彩,,¥0,¥0,¥0,10,消耗品,,,
生産部,,,エンドミル,ユニオンツール,CAS2020-0300,1,,,,¥0,,,,,,,,,岩瀬産業(株),,加藤彩,,¥0,¥0,¥0,10,消耗品,,,
生産部,,,ピンゲージケース,アイゼン,CA-S六角プラケース小φ0.05～φ10.00,1,,,57,¥57,,,,,,,,,棒柘産業(株),,加藤彩,,¥63,¥63,¥6,10,消耗品,,,
生産部,,,リーマ,F.P,CB 1.000,1,,,,¥0,,,,,,,,,岩瀬産業(株),,加藤彩,,¥0,¥0,¥0,10,消耗品,,,
生産部,,,リーマ,F.P,CB 2.210,1,,,,¥0,,,,,,,,,岩瀬産業(株),,加藤彩,,¥0,¥0,¥0,10,消耗品,,,
生産部,,,リーマ,F.P,CB 2.410,1,,,,¥0,,,,,,,,,岩瀬産業(株),,加藤彩,,¥0,¥0,¥0,10,消耗品,,,
生産部,,,リーマ,F.P,CB 2.610,1,,,,¥0,,,,,,,,,岩瀬産業(株),,加藤彩,,¥0,¥0,¥0,10,消耗品,,,
生産部,,,リーマ,F.P,CB 2.800,1,,,,¥0,,,,,,,,,岩瀬産業(株),,加藤彩,,¥0,¥0,¥0,10,消耗品,,,
生産部,,,リーマ,F.P,CB 2.810,1,,,,¥0,,,,,,,,,岩瀬産業(株),,加藤彩,,¥0,¥0,¥0,10,消耗品,,,
生産部,,,リーマ,F.P,CB 3.010,1,,,,¥0,,,,,,,,,岩瀬産業(株),,加藤彩,,¥0,¥0,¥0,10,消耗品,,,
